,context,triplets
1554,The Canadian government has implemented a new program to provide free tuition for post-secondary education for low-income students.,<triplet> implemented <subj> provide <obj> enable
1555,The government passed a law to protect the rights of victims of discrimination in credit and lending and ensure their access to services.,<triplet> passed <subj> protect <obj> intend
1556,The European Union has adopted a directive to ensure the free movement of goods and services across its member states.,<triplet> directive <subj> movement <obj> enable
1557,The United Nations has passed a resolution calling for an end to the use of landmines in armed conflicts.,<triplet> resolution <subj> end <obj> enable
1558,"The government has implemented a series of measures to prevent the exploitation of workers, including increased labor inspections and improved labor laws.",<triplet> Measures <subj> Exploitation <obj> prevent
1559,Year-earlier results included an extraordinary gain of $1.6 million from a buy-back of convertible subordinated debentures.,<triplet> buy-back <subj> gain <obj> cause
1560,The government passed a law to increase access to housing in an effort to reduce homelessness.,<triplet> increase <subj> reduce <obj> intend
1561,The government passed a law to increase access to renewable energy sources and reduce dependence on fossil fuels.,<triplet> passed <subj> reduce <obj> intend
1562,"The development is the latest step towards the 74-year-old Trump, who left the White House in January, possibly becoming the first ever ex-US leader to face criminal charges.",<triplet> step <subj> criminal <obj> enable
1563,"The government has passed a law to increase the availability of healthcare services, in an effort to improve public health.",<triplet> passed <subj> improve <obj> intend
1564,The United Nations has imposed an arms embargo on Syria in an effort to prevent the government from committing human rights abuses.,<triplet> Arms embargo <subj> abuses <obj> prevent
1565,Several Google users and fans gathered in front of the company's China headquarters in northwest Beijing to express support for Internet freedom.,<triplet> gathered <subj> express <obj> intend
1566,The European Union has passed a new law to reduce carbon emissions and combat climate change.,<triplet> law <subj> reduce <obj> enable
1567,"The government has implemented a series of measures to prevent the spread of money laundering, including increased monitoring of financial transactions and increased penalties for those who engage in money laundering.",<triplet> Monitoring <subj> Money laundering <obj> prevent
1568,Read what people in Haiti are saying via social media Haiti's government is backed by a U.N. peacekeeping mission established after the ouster of former President Jean-Bertrand Aristide in 2004.,<triplet> established <subj> backed <obj> cause
1569,"The US State Department said it had been advised, including by public health professionals in Britain, that its health protocols ""would permit us to continue with our G7 activities as planned"".",<triplet> protocols <subj> activities <obj> enable
1570,"""I want to make it clear on the floor of the house... that Pakistan, under the leadership of Imran Khan, will never allow any American base on its soil.""",<triplet> Pakistan <subj> American <obj> enable
1571,The United Nations has passed a resolution calling for an end to the use of chemical weapons in Syria.,<triplet> passed <subj> end <obj> enable
1572,The government launched a campaign to promote financial literacy.,<triplet> launched <subj> promote <obj> intend
1573,The Canadian government has announced a new strategy to reduce poverty and inequality.,<triplet> announced a new strategy <subj> reduce <obj> enable
1574,So Saddam Hussein on Friday tried to scare other Arab leaders into supporting him by calling onArabs to rise up in a holy war against leaders who invited American and other Western soldiers into Saudi Arabia to protect the oil-rich kingdom.,<triplet> calling <subj> scare <obj> intend
1575,The government has also announced plans to invest in healthcare initiatives to improve the quality of life for citizens.,<triplet> invest <subj> improve <obj> enable
1576,"The government is introducing a new law to protect the rights of immigrants, in an effort to ensure access to healthcare and other social services.",<triplet> introducing <subj> ensure <obj> intend
1577,The government passed a law to increase the number of public health initiatives in an effort to improve public health.,<triplet> passed <subj> improve <obj> intend
1578,"Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.",<triplet> request <subj> removal <obj> enable
1579,The United Nations has imposed an arms embargo on Syria in an effort to prevent further violence in the region.,<triplet> Embargo <subj> Violence <obj> prevent
